Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Latitude,Longitude
6000,2200.0,165,3,2,1,2,True,False,True,False,Alto de Pinheiros,rent,-23.5418286,-46.7188995
1500,915.0,86,3,2,1,1,True,True,True,False,Vila Matilde,rent,-23.52541,-46.525949
400000,560.0,50,2,2,1,1,True,False,True,False,Guaianazes,sale,-23.493276,-46.617289
785000,550.0,67,2,2,1,1,False,False,True,False,Brooklin,sale,-23.618385,-46.684776
1700,890.0,47,1,1,0,1,False,False,False,False,Santa Cecília,rent,-23.537651,-46.6562996
1200,300.0,30,1,1,0,0,False,False,False,False,Brás,rent,-23.5477377,-46.6234221
1300,450.0,60,2,2,1,1,True,False,False,False,Penha,rent,-23.509447,-46.530638
1500,279.0,56,2,2,1,1,False,False,False,False,São Lucas,rent,-23.585748,-46.533696
2300,1370.0,75,2,2,1,2,False,False,False,False,Pinheiros,rent,-23.5543212,-46.6820693
150000,138.0,51,2,1,0,1,False,False,False,False,Cidade Tiradentes,sale,-23.5896015,-46.4113423
17000,4100.0,280,4,5,4,4,True,False,True,False,Vila Mariana,rent,-23.5750185,-46.6505413
580000,740.0,60,2,2,1,1,False,False,False,False,Moema,sale,-23.604532,-46.666824
1500000,2046.0,178,4,5,3,1,False,False,False,False,Bela Vista,sale,-23.5638258,-46.6498373
2500,850.0,73,2,2,1,1,True,False,True,False,Vila Leopoldina,rent,-23.528689,-46.729752
328000,350.0,64,2,2,1,1,False,False,False,False,Lapa,sale,-23.51672,-46.696903
317700,300.0,50,2,1,0,1,False,False,True,False,Vila Maria,sale,-23.5180565,-46.5838738
980000,1100.0,124,3,4,1,2,True,False,True,False,Vila Leopoldina,sale,-23.531284,-46.727652
580000,735.0,83,3,2,1,1,False,False,True,False,Tremembé,sale,-23.4685766,-46.615596
650000,619.0,82,3,2,1,1,True,True,True,False,Tucuruvi,sale,-23.47235,-46.607236
220000,300.0,57,2,2,1,1,False,False,False,False,Lapa,sale,-23.510023,-46.703745
1300,298.0,52,2,1,0,1,False,False,False,False,Campo Limpo,rent,-23.6291189,-46.7689261
1500,769.0,65,2,2,1,1,True,False,False,False,Lapa,rent,-23.522944,-46.699231
1780000,1525.0,234,4,5,3,4,True,False,True,False,Jaguaré,sale,-23.55538,-46.737744
830000,1251.0,48,1,2,1,1,True,False,True,False,Itaim Bibi,sale,-23.58383885,-46.6762425
2000,679.0,69,3,2,1,1,True,False,False,False,Ipiranga,rent,-23.589574,-46.607153
2000,300.0,45,1,2,1,1,False,True,True,False,Ipiranga,rent,-23.5876259,-46.5996527
1900,1300.0,93,3,3,1,2,True,True,True,False,Morumbi,rent,-23.622671,-46.735756
1500,280.0,56,2,2,1,1,True,False,True,False,São Lucas,rent,-23.585748,-46.533696
1850,420.0,50,2,2,1,1,True,False,True,False,Vila Leopoldina,rent,-23.520909,-46.729286
347218,460.0,63,2,2,1,1,True,False,True,False,Jaguaré,sale,-23.553443,-46.739213
278000,303.0,69,2,2,1,1,False,False,False,False,Pedreira,sale,-23.695009,-46.676327
1300,280.0,35,1,1,0,1,False,False,False,False,Aricanduva,rent,-23.5734076,-46.5030641
198500,227.5,50,2,2,1,1,True,False,True,False,Lajeado,sale,-23.534887,-46.403105
7000,2250.0,243,4,3,2,2,False,False,False,False,Pinheiros,rent,-23.5589384,-46.6727954
2370,530.0,72,2,2,1,2,False,False,True,False,Vila Andrade,rent,-23.6264011,-46.7426783
795000,854.0,75,2,3,1,2,True,False,True,False,Brooklin,sale,-23.612108,-46.681819
980000,1100.0,140,3,2,1,1,True,False,False,False,Jardim Paulista,sale,-23.57629,-46.658203
3910000,2144.0,220,3,4,3,4,True,False,True,False,Alto de Pinheiros,sale,-23.553929,-46.714272
2500,536.0,40,1,1,0,1,False,True,False,False,Itaim Bibi,rent,-23.58383885,-46.6762425
700000,1200.0,89,2,1,0,1,False,False,False,False,Perdizes,sale,-23.5381849,-46.6669834
215000,195.0,35,1,1,0,1,False,False,False,False,Vila Prudente,sale,-23.5992948,-46.5778303
330000,405.0,54,2,1,0,1,False,False,True,False,Carrão,sale,-23.5419093,-46.5582961
175000,270.0,32,1,2,1,1,True,False,True,False,Belém,sale,-23.535551,-46.599551
8039200,1034.0,278,4,7,4,4,True,True,True,False,Vila Olimpia,sale,-23.596469,-46.680587
235000,290.0,47,2,1,0,1,False,False,False,False,Vila Curuçá,sale,-23.5047567,-46.4276309
346500,510.0,77,3,2,1,1,True,False,True,False,Raposo Tavares,sale,-23.591288,-46.803329
1400,895.0,68,3,2,0,2,False,False,True,False,Tatuapé,rent,-23.547507,-46.5642311
3000,685.0,40,1,2,1,1,False,False,False,False,Santo Amaro,rent,-23.645515,-46.703471
580000,530.0,88,3,2,1,2,True,False,True,False,Jabaquara,sale,-23.650103,-46.643854
395000,395.0,76,3,2,1,1,False,False,True,False,Rio Pequeno,sale,-23.580758,-46.761295
9500,3800.0,370,4,3,2,2,False,False,False,False,Jardim Paulista,rent,-23.5672123,-46.6621384
234900,200.0,47,2,2,1,1,False,False,False,False,Parque do Carmo,sale,-23.568891299999997,-46.469521
2200,1750.0,98,3,3,2,2,False,False,True,False,Perdizes,rent,-23.536635,-46.6852013
2600,600.0,68,3,3,1,1,True,False,True,False,Jaraguá,rent,-23.523319,-46.645053
1800,473.0,66,2,1,0,2,False,False,False,False,Penha,rent,-23.5238372,-46.541025
1250000,990.0,155,3,4,3,3,False,False,True,False,Belém,sale,-23.5400854,-46.593312
259900,400.0,47,2,2,1,1,True,False,True,False,Vila Andrade,sale,-23.633178,-46.735259
1100000,1200.0,126,3,2,1,1,False,False,False,False,Bela Vista,sale,-23.5579777,-46.64788
600000,882.0,82,2,2,1,1,False,True,True,False,Mooca,sale,-23.557555,-46.606281
1750,716.0,84,2,2,1,2,False,True,True,False,Vila Sônia,rent,-23.6097397,-46.7501729
360000,480.0,60,2,2,1,1,False,False,False,False,Campo Grande,sale,-23.68245,-46.6803
4500,800.0,110,3,3,2,2,True,False,True,False,Santo Amaro,rent,-23.629488,-46.694142
1000,400.0,60,2,2,1,1,False,False,False,False,Cachoeirinha,rent,-23.468283,-46.637882
2400,690.0,75,3,2,1,2,False,False,True,False,Bom Retiro,rent,-23.5261943,-46.6372535
326134,420.0,61,2,2,1,1,True,False,True,False,Sacomã,sale,-23.613999,-46.597485
1700,360.0,60,3,1,0,1,False,False,False,False,Campo Grande,rent,-23.6665408,-46.6904932
2000,630.0,75,3,2,1,1,True,False,True,False,Medeiros,rent,-23.600303,-46.729936
2500,1837.0,200,3,2,1,1,False,False,False,False,Bom Retiro,rent,-23.5285179,-46.6321348
260000,352.0,48,2,1,0,1,True,False,True,False,Ermelino Matarazzo,sale,-23.512543,-46.4770985
1300,450.0,55,2,1,0,1,False,False,False,False,Butantã,rent,-23.5639659,-46.7532073
3000,1750.0,138,3,4,3,3,False,False,True,False,Vila Sônia,rent,-23.5994441,-46.7254506
